December 28, 2015	December 21, 2015	December 14, 2015	December 7, 2015	November 30, 2015	November 23, 2015	November 16, 2015	November 9, 2015	November 2, 2015	October 26, 2015	October 19, 2015	October 12, 2015	October 5, 2015	September 28, 2015	September 21, 2015	September 14, 2015	September 7, 2015	August 31, 2015	August 24, 2015	August 17, 2015	August 10, 2015	August 3, 2015	July 27, 2015	July 20, 2015	July 13, 2015	July 6, 2015	June 29, 2015	June 22, 2015	June 15, 2015	June 8, 2015	June 1, 2015	May 25, 2015	May 18, 2015	May 11, 2015	May 4, 2015	April 27, 2015	April 20, 2015	April 13, 2015	April 6, 2015	March 30, 2015	March 23, 2015	March 16, 2015	March 9, 2015	March 2, 2015	February 23, 2015	February 16, 2015	February 9, 2015	February 2, 2015
mikesaiks	1,147,205	2,372,295	10,352,096	140,684,813	139,537,608	139,331,827	138,612,900	138,413,799	138,047,022	138,047,022	138,047,022	137,729,852	136,956,235	136,672,892	135,335,340	133,156,214	132,905,246	132,077,088	129,177,313	126,028,504	124,780,021	121,961,958	120,457,353	118,751,395	114,505,373	104,817,908	101,466,174	91,114,078	85,031,942	79,208,830	72,327,765	70,557,888	68,799,421	67,599,984	65,658,065	63,709,349	61,746,320	60,303,835	58,455,207	53,820,865	53,177,531	50,537,346	46,390,784	44,826,463	42,419,707	40,391,716	39,383,081	39,005,851	38,018,860	36,587,211	33,931,520
Little Aidsy	1,090,856	2,315,446	5,300,019	46,443,281	45,352,425	43,988,194	39,242,114	35,436,509	32,764,542	28,250,412	26,303,184	21,003,165	17,088,499	13,247,562	12,369,137	11,302,273	9,884,995	8,052,053	7,551,978	6,716,379	5,405,883	3,915,267	1,340,720	134,369																											
Bob	819,732	9,359,193	32,300,202	608,300,552	607,480,820	606,998,092	603,458,357	600,276,076	597,737,832	565,437,630	557,333,770	557,072,155	554,892,237	553,130,843	552,557,003	552,230,702	552,230,702	551,959,478	547,727,232	546,894,443	546,817,690	546,817,690	546,817,690	546,816,690	527,566,278	505,981,795	495,350,765	476,582,562	463,793,581	452,815,259	431,702,796	415,316,020	399,154,260	385,919,003	365,461,973	350,154,440	339,445,577	323,306,201	314,604,239	302,775,776	291,538,626	280,061,136	267,882,859	251,352,691	238,758,042	232,240,198	226,188,421	215,416,602	202,104,062	190,470,112	187,136,874
Alex W	508,339	746,408	1,227,267	6,198,514	5,690,175	5,444,331	4,440,151	3,212,884																																											
Schmidt	477,098	2,771,772	15,672,076	340,292,670	339,815,572	339,708,343	339,461,006	339,461,006	339,461,006	339,461,006	339,461,006	339,461,006	339,461,006	339,461,006	339,390,164	339,390,164	339,203,543	339,201,543	338,897,661	338,884,681	338,884,681	338,738,074	334,718,838	333,701,397	329,383,158	328,540,518	326,291,699	325,596,337	325,427,627	324,340,943	324,340,943	322,287,516	321,236,779	315,539,796	315,539,796	315,511,047	315,429,448	314,553,854	313,402,884	311,022,754	309,660,425	306,014,742	301,286,473	300,195,955	284,634,123	275,215,507	262,210,357	254,247,482	238,575,406	225,861,230	215,562,947
King Zoll	455,162	502,818	550,474	64,814,514	64,359,352	63,808,878																																													
Moracer3	380,736	1,286,949	3,013,670	47,152,297	46,771,561	45,391,375	44,677,977	42,551,038	39,537,368	39,024,715	37,800,205	35,789,568	33,967,761	33,157,834	31,342,743	29,984,826	28,924,715	28,501,113	27,407,078	26,712,923	25,333,337	23,985,156	23,585,218	22,435,881	21,692,341	20,110,334	17,857,411	16,265,521																							
dead tuna 2	221,828	2,511,025	6,174,398	269,226,620	269,004,792	268,855,745	268,380,411	266,352,281	263,685,846	260,402,683	260,038,294	258,384,376	257,997,932	256,591,118	255,761,304	253,377,416	250,030,723	244,350,507	238,176,109	232,624,685	228,523,081	224,576,132	223,497,853	220,311,592	219,628,641	217,979,459	216,452,229	215,209,622	209,658,198	203,939,962																					
The Legend	202,784	202,784	202,784	87,676,133	87,473,349																																														
Allan	202,000	801,537	5,796,674	45,515,673	45,313,673	45,037,107	44,885,301	44,792,951	44,589,710	44,523,662	44,378,118	44,139,236	43,864,372	43,758,158	43,723,606	43,422,381	43,181,750	42,899,639	42,765,190	42,511,421	42,030,825	41,698,993	41,408,607	41,408,607	41,408,607	41,408,607	41,408,607	40,299,713	39,872,095	39,872,095	39,872,095	39,209,199	38,441,048	37,550,613	36,914,132	35,956,237	35,770,911	34,703,194	34,332,935	34,095,361	31,457,834	30,918,717	25,122,043	22,573,988	20,650,686	18,657,277	16,557,140	15,397,041	13,862,718	11,870,678	9,446,525
ÇØ!BŸ	185,909	1,827,771	10,754,738	196,467,571	196,281,662	195,852,177	194,385,685	194,346,231	194,154,533	193,377,832	192,921,762	191,871,656	190,958,586	190,958,586	190,958,586	190,708,015	190,539,416	189,804,447	189,302,514	188,468,716	187,930,461	187,098,285	187,098,285	186,152,452	184,216,019	180,123,063	177,509,718	174,944,539	171,586,701	170,301,574	168,602,207	168,121,506	167,681,002	166,458,710	164,993,492	163,681,393	158,881,451	157,522,156	154,980,866	154,691,970	153,700,227	152,900,157	148,671,723	146,670,847	145,322,783	144,818,486	142,813,028	135,548,307	124,793,569	118,965,894	110,562,339
A dozen orphans	158,000	2,397,858	5,735,266	214,918,410	214,760,410	214,363,262	213,705,540	213,377,326	210,576,624	208,229,219	204,574,465	201,678,252	195,942,986	190,939,834																																					
black eye	149,195	1,466,073	4,766,231	85,021,272	84,872,077	84,872,077	84,872,077	84,872,077	84,872,077	84,872,077	84,783,635	84,767,303	84,606,948	83,688,348	83,633,563	82,590,523	81,387,822	79,507,600	77,211,103	75,240,176	74,614,216	74,285,488	74,004,296	73,461,493	71,794,321	70,786,499	70,786,499	70,786,499	70,786,396	68,580,819	65,302,554	64,676,444	64,426,671	62,753,671	60,764,510	58,291,619	54,150,902	52,891,969	51,828,530	50,248,104	47,585,142	45,921,382	41,761,026	37,851,656	34,766,901	31,899,292	28,623,660	23,857,429	22,695,941	21,840,496	19,048,002
goober	99,500	186,424	693,628	11,679,254	11,579,754	11,266,590	10,935,802	10,597,175	10,494,175	10,373,834	9,797,406	9,797,406	9,797,406	9,797,406	9,797,406	9,490,494	9,490,494	9,490,494	9,261,315	9,028,984	8,631,584	8,283,044	7,984,282	7,892,282	7,883,782	7,645,664	7,578,664	7,491,265	7,416,265	7,363,685	6,796,853	6,796,853	6,718,853	6,420,094	5,726,466	5,606,831	5,375,681	5,375,681	4,692,233	4,684,681	4,533,481	4,533,481	4,408,713								
sleepy	62,479	1,350,998	5,375,286	147,627,448	147,564,969	147,287,312	146,509,360	143,985,346	141,855,509	141,855,509	141,855,509	141,853,937	141,853,937	141,853,937	141,792,512	141,792,512	141,696,586	141,696,586	141,696,586	141,696,586	141,695,580	141,544,914	141,148,459	140,836,250	140,069,187	140,069,187	139,808,411	139,021,366	138,432,342	137,682,461	135,695,716	131,730,682	129,061,012	126,820,991	123,102,296	119,689,277	118,778,126	116,533,186	114,720,870	113,529,683	112,109,445	110,455,212	108,268,862	102,893,576	101,392,767	98,763,732	97,165,533	94,081,354	91,794,566	87,049,131	86,832,556
Kaedenator	27,000	182,979	609,520	6,575,901	6,548,901	6,271,723	6,198,723	6,088,723	5,981,723	5,775,323	5,165,803	4,991,044	4,854,809	4,665,816	4,389,479	4,228,479	4,228,479	4,007,819	3,865,819	3,648,231																															
king theo	20	20	20	33,447	33,427																																														
speedy	0	3,210,344	19,269,408	349,350,489	349,350,489	348,513,412	342,021,838	342,021,838	342,021,838	341,938,306	341,373,232	341,289,759	340,165,845	338,590,577	338,034,590	334,261,524	331,613,029	331,505,951	331,228,935	331,095,175	330,904,014	328,947,138	326,517,646	326,102,810	306,833,402	289,665,879	287,811,334	281,292,591	278,836,636	278,836,636	276,658,129	276,166,043	276,165,043	276,165,043	275,768,986	274,757,692	270,128,675	267,244,619	263,485,432	261,823,886	258,205,338	251,875,619	245,386,800	234,664,886	225,963,646	223,167,195	218,261,160	216,864,038	204,884,988		
slamtown1983	0	289,989	445,615	37,587,457	37,587,457	37,503,846	37,236,141	36,932,946	36,504,212	36,117,211	35,713,164	35,267,549																																							
Tiny Tina	0	98,941	1,464,602	3,581,369	3,581,369	3,581,369	3,560,145	2,610,662	1,146,060	544,414	544,414	544,414	474,414	464,058	464,058	464,058	464,058	462,868	443,623	404,553	394,922	374,866	374,866	374,866	374,866	374,866	374,866	328,199	153,043	153,043	150,514	150,514	106,004	80,638	59,616	34,616	33,956	33,780	30,564	19,500											
Jazzy Jazz	0	40,106	314,260	1,332,176	1,332,176	1,332,176	1,332,176	1,332,176	1,320,176	1,320,176	1,320,176	1,320,176	1,225,426	1,225,426	1,105,737	1,105,737	1,105,737	1,084,959	1,084,959	1,004,120	1,004,120	1,004,120	1,004,120	1,004,120	1,004,120	1,004,120	1,004,120	968,101	968,101	753,218	438,958	209,196																			
solowolf	0	0	0	220,661,851																																															
Red Dragon	0	0	0	31,839,889																																															
xXCRAZYXx	0	0	0	2,554,797																																															
xieck	0	0	0	106,869																																															
