February 22, 2016	February 15, 2016	February 8, 2016	February 1, 2016	January 25, 2016	January 18, 2016	January 11, 2016	January 4, 2016	December 28, 2015	December 21, 2015	December 14, 2015	December 7, 2015	November 30, 2015	November 23, 2015	November 16, 2015	November 9, 2015	November 2, 2015	October 26, 2015	October 19, 2015	October 12, 2015	October 5, 2015	September 28, 2015	September 21, 2015	September 14, 2015	September 7, 2015	August 31, 2015	August 24, 2015	August 17, 2015	August 10, 2015	August 3, 2015	July 27, 2015	July 20, 2015	July 13, 2015	July 6, 2015	June 29, 2015	June 22, 2015	June 15, 2015	June 8, 2015	June 1, 2015	May 25, 2015	May 18, 2015	May 11, 2015	May 4, 2015	April 27, 2015	April 20, 2015	April 13, 2015	April 6, 2015	March 30, 2015	March 23, 2015	March 16, 2015	March 9, 2015	March 2, 2015	February 23, 2015	February 16, 2015	February 9, 2015	February 2, 2015
Bob	0	42,446	173,582	2,442,711	2,442,711	2,442,711	2,440,359	2,440,359	2,437,647	2,437,647	2,437,647	2,436,401	2,435,018	2,430,157	2,403,264	2,389,463	2,375,892	2,202,310	2,176,386	2,175,100	2,166,645	2,159,469	2,156,802	2,156,553	2,156,553	2,155,092	2,137,468	2,136,328	2,133,642	2,133,642	2,133,642	2,133,642	2,056,100	1,968,904	1,917,693	1,818,724	1,735,768	1,681,889	1,563,342	1,460,239	1,378,008	1,299,658	1,142,876	1,028,020	953,558	861,492	792,882	727,352	671,057	629,060	568,324	506,696	441,622	405,804	367,349	303,166	250,278	200,085	193,072
Aidsy	0	36,592	88,757	2,567,296	2,567,296	2,567,296	2,567,296	2,567,296	2,567,296	2,563,057	2,550,270	2,540,687	2,470,263	2,381,506	2,328,486	2,274,188	2,206,917	2,171,454	2,153,973	2,132,732	2,071,341	2,037,067	1,987,548	1,937,681	1,872,079	1,859,920	1,854,527	1,840,553	1,834,656	1,819,017	1,807,880	1,762,353	1,694,672	1,620,759	1,543,948	1,458,708	1,379,878	1,304,309	1,254,692	1,232,792	1,213,390																		
speedy	0	12,178	70,823	1,039,228	1,039,228	1,039,228	1,039,228	1,004,571	1,002,784	1,001,074	1,001,074	997,548	997,548	984,257	952,847	952,847	952,847	951,253	950,522	949,615	945,310	939,586	938,938	923,424	911,420	910,173	909,094	908,754	906,892	883,570	860,568	859,873	815,111	744,288	733,034	702,841	682,968	682,968	674,280	671,577	671,577	671,577	670,980	666,418	643,169	633,861	613,544	599,886	575,450	553,187	535,116	501,066	472,577	464,078	453,460	447,328	393,787		
sleepy	0	2,137	14,323	177,786	177,786	177,594	177,034	177,014	175,845	174,030	170,354	169,613	169,613	169,464	166,547	160,333	157,175	157,175	157,175	157,175	157,175	157,175	157,068	157,068	157,009	157,009	157,009	157,009	157,009	157,009	156,923	156,264	153,852	153,852	153,645	151,856	150,693	149,847	146,872	137,636	123,313	119,305	116,053	112,179	111,102	108,137	105,028	102,041	99,915	96,412	90,588	83,243	81,663	78,174	75,913	73,161	70,039	64,770	64,519
zac	0	653	1,162	19,017	19,017	17,855	17,058																																																				
hiden111	0	252	672	1,512	1,512	1,512	840	311	221	0																																																	
imperials	0	0	1	60	60	60	60	59																																																			
MahoganyGod	0	0	0	784,839																																																							
Brian Jones	0	0	0	91,439																																																							
marko	0	0	0	71,315																																																							
Tobe	0	0	0	20,443																																																							
Jazzy Jazz	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																			
Viral	0	0	0	0	0	0	0																																																				
xieck	0	0	0	0	0	0	0	0	0	0	0	0																																															
