February 15, 2016	February 8, 2016	February 1, 2016	January 25, 2016	January 18, 2016	January 11, 2016	January 4, 2016	December 28, 2015	December 21, 2015	December 14, 2015	December 7, 2015	November 30, 2015	November 23, 2015	November 16, 2015	November 9, 2015	November 2, 2015	October 26, 2015	October 19, 2015	October 12, 2015	October 5, 2015	September 28, 2015	September 21, 2015	September 14, 2015	September 7, 2015	August 31, 2015	August 24, 2015	August 17, 2015	August 10, 2015	August 3, 2015	July 27, 2015	July 20, 2015	July 13, 2015	July 6, 2015	June 29, 2015	June 22, 2015	June 15, 2015	June 8, 2015	June 1, 2015	May 25, 2015	May 18, 2015	May 11, 2015	May 4, 2015	April 27, 2015	April 20, 2015	April 13, 2015	April 6, 2015	March 30, 2015	March 23, 2015	March 16, 2015	March 9, 2015	March 2, 2015	February 23, 2015	February 16, 2015	February 9, 2015	February 2, 2015	January 26, 2015	January 19, 2015	January 12, 2015	January 5, 2015	December 29, 2014
ÇØ!BŸ	69,630	2,270,720	13,721,290	212,242,412	212,172,782	212,047,265	211,857,188	211,857,188	211,857,188	211,646,512	211,221,473	210,960,729	210,543,103	208,868,606	208,716,875	208,551,401	207,815,773	207,316,185	206,286,596	205,474,822	205,474,822	205,474,822	205,259,646	205,091,047	204,345,116	204,043,029	203,213,479	202,700,946	201,887,518	201,887,518	201,101,350	198,948,795	194,815,319	191,961,893	189,207,616	184,900,794	183,563,697	181,671,957	181,210,535	180,717,229	179,637,427	177,650,317	176,336,794	171,532,497	169,756,278	166,723,427	166,239,232	165,381,594	164,855,335	161,539,711	159,427,398	157,629,870	157,101,838	154,285,559	144,050,645	130,681,210	122,865,611	112,436,012	98,714,722	94,450,820	85,977,596	84,509,305	82,811,377
imperials	69,058	205,738	435,112	8,523,518	8,454,460	8,341,416	7,906,304																																																								
hiden111	57,918	858,293	1,602,691	5,606,619	5,548,701	3,946,010	2,545,923	1,972,174	1,315,156																																																						
Viral	41,628	77,426	113,223	199,589	157,961	44,738																																																									
Bob	0	7,349,391	31,017,832	609,473,331	609,473,331	609,398,791	609,398,791	608,988,348	608,988,348	608,988,348	608,036,117	607,310,373	606,847,293	603,311,569	600,477,505	597,593,667	566,575,835	558,844,422	558,656,570	556,716,870	555,134,571	554,655,904	554,479,956	554,479,956	554,293,603	550,431,090	549,626,650	549,532,121	549,532,121	549,532,121	549,531,121	531,486,054	512,213,354	501,483,265	484,380,262	473,097,003	463,586,799	447,164,216	431,831,208	416,593,251	404,696,145	384,463,304	369,142,238	359,265,594	344,832,084	336,235,840	325,437,630	316,693,362	306,326,612	293,536,654	280,355,970	267,793,207	261,865,075	256,417,602	245,622,751	233,407,622	219,395,854	215,431,158	209,551,976	207,547,442	201,711,374	193,790,564	190,558,067
Aidsy	0	4,077,085	15,262,410	611,116,997	611,116,997	611,116,997	611,116,997	611,116,997	610,915,710	609,960,232	609,603,095	606,240,956	602,756,557	600,643,562	597,427,305	593,556,488	591,430,978	590,454,486	588,876,857	584,917,952	582,505,478	578,844,708	575,990,439	568,316,566	565,431,991	564,853,091	561,839,202	560,455,448	557,957,630	555,827,168	547,652,461	535,478,329	526,055,599	515,186,801	499,924,391	489,733,947	477,822,819	470,873,537	467,517,296	464,341,952																							
speedy	0	2,910,416	20,983,530	360,132,642	360,132,642	360,132,642	356,138,964	355,925,300	355,768,846	355,768,846	355,341,009	355,341,009	355,069,290	349,294,247	349,294,247	349,294,247	349,170,411	348,661,717	348,598,411	347,788,138	346,767,576	346,267,944	343,136,593	340,635,645	340,514,509	340,229,509	340,073,210	339,855,203	337,485,402	335,821,165	335,351,247	314,367,717	298,014,628	296,620,574	289,583,163	286,683,541	286,683,541	284,478,204	284,045,723	284,044,723	284,044,723	283,639,711	282,524,528	277,099,291	272,695,938	268,785,336	266,986,510	263,990,606	257,230,959	250,954,052	239,325,981	230,042,515	227,209,146	222,064,971	220,584,091	208,790,987							
Tiny Tina	0	102,229	1,208,650	4,415,326	4,415,326	4,387,148	4,081,630	3,481,630	3,481,630	3,481,630	3,481,630	3,481,630	3,481,630	3,397,520	2,473,971	1,265,321	513,465	513,465	513,465	443,465	437,927	437,927	437,927	437,927	436,278	428,248	406,859	390,271	370,905	370,905	370,905	370,905	349,760	349,760	320,379	222,611	222,611	205,460	205,460	145,239	107,202	60,506	36,005	36,005	34,130	28,999	19,500																
Chris	0	0	0	395,168,818																																																											
nathan	0	0	0	363,277,131																																																											
Jacob	0	0	0	277,895,969																																																											
Jazzy Jazz	0	0	0	1,468,283	1,468,283	1,468,283	1,468,283	1,468,283	1,468,283	1,468,283	1,468,283	1,468,283	1,468,283	1,468,283	1,468,283																																																
